Class,Order,Family,Genus,Species,Body mass (g),Brain mass (g)
Amphibian,Anura,Ranidae,Rana,pleuraden,17.37,0.0605
Amphibian,Anura,Rhacophoridae,Polypedates,megacephalus,3.8038,0.0416
Amphibian,Anura,Rhacophoridae,Polypedates,megacephalus,3.911,0.0412
Amphibian,Anura,Rhacophoridae,Polypedates,megacephalus,4.0672,0.0438
Amphibian,Anura,Rhacophoridae,Polypedates,megacephalus,5.1001,0.0557
Amphibian,Anura,Rhacophoridae,Polypedates,megacephalus,5.0349,0.0474
Amphibian,Anura,Rhacophoridae,Polypedates,megacephalus,5.6243,0.041
Amphibian,Anura,Rhacophoridae,Polypedates,megacephalus,5.1626,0.0516
Amphibian,Anura,Rhacophoridae,Polypedates,megacephalus,4.6524,0.039
Amphibian,Anura,Rhacophoridae,Polypedates,megacephalus,4.7821,0.0266
Amphibian,Anura,Rhacophoridae,Polypedates,megacephalus,5.2907,0.0292
Amphibian,Anura,Rhacophoridae,Polypedates,megacephalus,4.7953,0.0248
Amphibian,Anura,Rhacophoridae,Polypedates,megacephalus,6.0064,0.0512
Amphibian,Anura,Rhacophoridae,Polypedates,megacephalus,6.3723,0.056
Amphibian,Anura,Rhacophoridae,Polypedates,megacephalus,5.8603,0.0602
Amphibian,Anura,Rhacophoridae,Polypedates,megacephalus,5.9069,0.0392
Amphibian,Anura,Rhacophoridae,Polypedates,megacephalus,6.5172,0.0496
Amphibian,Anura,Rhacophoridae,Rhacophorus,chenfui,5.0926,0.0257
Amphibian,Anura,Rhacophoridae,Rhacophorus,chenfui,5.7547,0.0335
Amphibian,Anura,Rhacophoridae,Rhacophorus,chenfui,6.4169,0.0413
Amphibian,Anura,Rhacophoridae,Rhacophorus,dugritei,4.8743,0.036
Amphibian,Anura,Rhacophoridae,Rhacophorus,dugritei,4.7488,0.0464
Amphibian,Anura,Rhacophoridae,Rhacophorus,dugritei,4.631,0.0429
Amphibian,Anura,Rhacophoridae,Rhacophorus,dugritei,5.218,0.0497
Amphibian,Anura,Rhacophoridae,Rhacophorus,dugritei,4.8912,0.041
Amphibian,Anura,Rhacophoridae,Rhacophorus,dugritei,5.3929,0.0398
Amphibian,Anura,Rhacophoridae,Rhacophorus,dugritei,6.0692,0.0398
Amphibian,Anura,Rhacophoridae,Rhacophorus,dugritei,7.2152,0.0407
Amphibian,Anura,Rhacophoridae,Rhacophorus,dugritei,5.8253,0.0369
Amphibian,Anura,Rhacophoridae,Rhacophorus,dugritei,6.0421,0.0418
Amphibian,Anura,Rhacophoridae,Rhacophorus,dugritei,6.0135,0.0451
Amphibian,Anura,Rhacophoridae,Rhacophorus,dugritei,5.9508,0.0441
Amphibian,Anura,Rhacophoridae,Rhacophorus,omeimontis,8.96,0.0603
Amphibian,Anura,Rhacophoridae,Rhacophorus,omeimontis,8.87,0.0428
Amphibian,Anura,Rhacophoridae,Rhacophorus,omeimontis,10.57,0.0573
Amphibian,Anura,Rhacophoridae,Rhacophorus,omeimontis,10.76,0.0747
Amphibian,Anura,Rhacophoridae,Rhacophorus,omeimontis,11.04,0.0642
Amphibian,Anura,Rhacophoridae,Rhacophorus,omeimontis,11.01,0.0698
Amphibian,Anura,Rhacophoridae,Rhacophorus,omeimontis,9.71,0.0572
Amphibian,Anura,Rhacophoridae,Rhacophorus,omeimontis,12.33,0.0674
Amphibian,Anura,Rhacophoridae,Rhacophorus,omeimontis,14.11,0.0652
Amphibian,Anura,Rhacophoridae,Rhacophorus,omeimontis,14.6,0.0877
Amphibian,Anura,Rhacophoridae,Rhacophorus,omeimontis,13.93,0.0874
Amphibian,Anura,UNKNOWN,Brachytarsophrys,chuannanensis,113.75,0.078404
Amphibian,Anura,UNKNOWN,Brachytarsophrys,chuannanensis,87.88,0.080132
Amphibian,Anura,UNKNOWN,Brachytarsophrys,feae,93.5049,0.047076
